ModelGeneID,InfectedCandida48R1,InfectedCandida48R2
CAALFM_C113510CA,46.0485742,31.7665938
CAALFM_C113540WA,21.3712613,29.4859153
CAALFM_C113630WA,0,92.2420344
CAALFM_C113690CA,275.7835562,190.249196
CAALFM_C113760WA,0,63.3000383
CAALFM_C113850CA,0,0
CAALFM_C113860CA,479.9743063,484.8398158
CAALFM_C113870WA,0,0
CAALFM_C113900CA,98.7014833,151.3093021
CAALFM_C114130WA,900.0266146,903.1026407
CAALFM_C114220CA,0,90.074467
CAALFM_C114270WA,93.2999096,0
CAALFM_C114310WA,0,102.0666298
CAALFM_C200150WA,30.5676965,0
CAALFM_C200260CA,95.7614391,88.0813299
CAALFM_C200340CA,254.1095098,280.4757795
CAALFM_C200390CA,30.8695997,127.7722995
CAALFM_C200470WA,19.813293,0
CAALFM_C200550WA,0,0
CAALFM_C200580CA,72.8282789,133.9748384
CAALFM_C200740CA,69.3282138,95.6520912
CAALFM_C200780WA,95.194324,0
CAALFM_C200790CA,54.2002365,0
CAALFM_C200850WA,139.845502,38.5889495
CAALFM_C201000WA,685.6775804,473.0144544
CAALFM_C201010WA,0,0
CAALFM_C201020WA,1622.334725,704.370889
CAALFM_C201160WA,59.9625318,0
CAALFM_C201210CA,0,96.0070154
CAALFM_C201270WA,0,0
CAALFM_C201380WA,0,0
CAALFM_C201430WA,66.1491422,91.2659282
CAALFM_C201530CA,0,0
CAALFM_C201550WA,31.9749051,66.1736334
CAALFM_C201590WA,833.4791922,638.8614977
CAALFM_C201620WA,237.3833142,1310.070413
CAALFM_C201670CA,174.5651234,68.813539
CAALFM_C201860CA,0,0
CAALFM_C202030WA,213.6256676,168.4223965
CAALFM_C202370CA,239.112883,235.6456344
CAALFM_C202410WA,329.0049443,181.5711625
CAALFM_C202460WA,85.7488881,47.3230739
CAALFM_C202470CA,0,0
CAALFM_C202490CA,0,0
CAALFM_C202510WA,19.4738129,0
CAALFM_C202570WA,0,0
CAALFM_C202580WA,0,0
CAALFM_C202610CA,0,0
CAALFM_C202690WA,165.5918925,57.1167564
CAALFM_C202700CA,0,0
CAALFM_C202740CA,58.4214387,282.1140726
CAALFM_C202790CA,0,15.8250096
CAALFM_C202850WA,0,15.8250096
CAALFM_C202890WA,0,47.981253
CAALFM_C202940WA,0,92.0779027
CAALFM_C202980CA,64.113784,0
CAALFM_C203010CA,1223.040119,1208.281528
