Genes,Mouse_Infected48_R1,Mouse_Infected48_R2
105727,0.1686804,0.1657602
69354,0.022227,0.0269158
11989,0.0772661,0.0933471
74338,2.2486102,2.2811366
57394,13.9165557,15.1061263
70008,1.1105191,1.168065
76282,4.8783423,4.7003874
108682,1.9934708,2.03999
209837,0,0.0005231
76257,3.065866,3.2564864
225791,7.2167764,7.3285754
58810,53.7672884,56.4478423
11668,0.3071939,0.276548
19378,0.243841,0.2342481
110695,2.7851991,2.8049309
56752,9.4936213,10.2353108
11671,2.7487169,2.7824583
72535,0.6717922,0.7352689
11669,22.6705633,22.4884203
11684,0.2119701,0.2414643
11688,0.0256479,0.0258554
11687,0.2578324,0.1249295
11689,0.0317555,0.0291434
110198,15.7291919,15.0399965
11677,1.4284478,1.3423389
17117,4.0927737,4.6983154
67582,0.18889,0.185669
109674,4.3058955,4.0111274
229665,0.0020286,0.0025168
11717,2.7320025,2.6221221
16790,1.8518256,2.0406261
109959,0,0
100043688,0,0.0003285
100043684,0,0
100043686,0,0
11722,0.1711086,0.1845885
20532,10.2881426,11.1708085
30962,5.6160521,5.828433
26459,0.0138986,0.0075301
242669,0.5273301,0.5061558
330836,0.4031431,0.3740735
11847,5.2675877,4.8976216
11898,0.568342,0.7195423
83885,0.0399453,0.0597767
18408,5.3541544,5.4499805
11883,5.934879,5.4672221
11886,2.1336165,2.1828733
54338,0.2597167,0.266065
20522,13.592633,14.3766835
66514,0.764599,0.7636858
27053,1.0016603,1.0432663
69719,1.6861389,1.6332848
20513,0.0013289,0.0011489
20510,1.9208608,1.9303796
20512,0.188118,0.1780786
20511,0.2395109,0.1839177
242607,0.0010093,0.0012914
12496,4.9270342,4.4728614
12495,0.813628,0.860102
215446,0.0355,0.0311088
12497,0.9049108,0.8763632
12499,5.1325766,5.6232483
72090,1.3331067,1.4639683
11739,48.8070549,49.008273
11740,94.7834525,104.1149103
73333,0.0065214,0.0080112
110173,1.620607,1.6184025
26879,0.1392512,0.1593235
54218,2.0089352,1.853095
93961,0.3354942,0.3881261
108105,0.0366219,0.0355867
12012,0.0425006,0.0474137
110948,0.1858971,0.2065133
22348,0.0271439,0.0243834
170442,0.0486612,0.0438942
63857,0.2257172,0.2113957
71911,1.9225589,2.1364542
64918,2.5011373,2.6770469
12116,0.0176298,0.0158729
101488,0.1081281,0.1053485
12780,1.3775003,1.5662044
76408,0.3815642,0.3691506
28253,0.0001141,0.0001657
233016,1.3472302,1.1994437
109778,2.0205733,1.9997508
55981,0.70163,0.700156
23827,3.462701,3.5110672
26363,2.9900989,3.1006436
330064,1.3279267,1.4072518
80721,0.546426,0.6861611
103149,0.991189,1.1696251
73166,2.7415894,2.6410399
18194,0.7931952,0.8739414
15488,15.4568039,14.7747554
66234,1.4913783,1.6483836
320707,0.0015113,0.0014634
11941,0.0063099,0.0075868
67972,0.6958579,0.7454081
381290,0.1883895,0.2066027
12359,10.5489383,11.2540007
110893,0.0011443,0.0013413
20541,0.0317281,0.0437222
110891,0.0117572,0.0128989
109136,0.9520013,0.9408417
14377,2.4840188,2.7237578
14378,0.0021375,0.0025402
68401,11.5813661,11.209623
227231,0.0000602,0.0001312
12408,18.3042835,18.2956
52858,20.0491244,18.9354198
74596,1.0593451,1.1516958
110911,3.2048317,3.2287593
99712,0.8609174,0.9022826
212862,11.4240136,12.8859601
223753,0.7107808,0.6963687
68018,0.6297344,0.6666336
57738,1.046237,1.14446
12642,4.354417,4.0305651
12647,0.0002541,0.0001914
237928,1.5316395,1.3588057
13026,1.9055447,1.930825
236899,0.0040266,0.0042473
108096,0.0076182,0.0070034
20493,0.074491,0.0657745
20494,1.2258277,1.4564764
27413,0.0002186,0.0002419
218865,12.8706008,12.181465
12651,6.1674932,6.1567951
12660,3.529182,3.8709592
63993,0.0010887,0.0010542
20518,3.6792412,3.7789197
20520,5.6771166,5.6675949
54200,0.053613,0.0490382
